DistinguishedName,Enabled,GivenName,Name,ObjectClass,ObjectGUID,SamAccountName,SID,Surname,UserPrincipalName
"CN=Casey Baggett,OU=Alsid,DC=alsid,DC=corp",TRUE,Casey,Casey Baggett,user,c9e9273b-8dbe-409e-9cc0-62bee9eae8a4,casey.baggett,S-1-5-21-3286942722-1835917726-286516016-1103,Baggett,casey.baggett@ad.vulndomain.corp
"CN=Miguel Clarke,OU=Alsid,DC=alsid,DC=corp",TRUE,Miguel,Miguel Clarke,user,f5c88990-eac0-48b1-af02-543fd551775c,miguel.clarke,S-1-5-21-3286942722-1835917726-286516016-1104,Clarke,miguel.clarke@ad.vulndomain.corp
"CN=Jayson Burger,OU=Alsid,DC=alsid,DC=corp",TRUE,Jayson,Jayson Burger,user,e00bea75-bd0e-4097-bc83-cd15185902f9,jayson.burger,S-1-5-21-3286942722-1835917726-286516016-1105,Burger,jayson.burger@ad.vulndomain.corp
"CN=Marquis Chilton,OU=Alsid,DC=alsid,DC=corp",TRUE,Marquis,Marquis Chilton,user,c649d3a5-db91-4a85-88da-08d7f7b607df,marquis.chilton,S-1-5-21-3286942722-1835917726-286516016-1106,Chilton,marquis.chilton@ad.vulndomain.corp
"CN=Micheal Clanton,OU=Alsid,DC=alsid,DC=corp",TRUE,Micheal,Micheal Clanton,user,06fb05a2-da96-455b-b1c9-acd8a83caffb,micheal.clanton,S-1-5-21-3286942722-1835917726-286516016-1107,Clanton,micheal.clanton@ad.vulndomain.corp
"CN=Javier Burdick,OU=Alsid,DC=alsid,DC=corp",TRUE,Javier,Javier Burdick,user,76390ce5-909b-4c49-a6ac-bd3e6dbc354a,javier.burdick,S-1-5-21-3286942722-1835917726-286516016-1108,Burdick,javier.burdick@ad.vulndomain.corp
"CN=Marlon Childs,OU=Alsid,DC=alsid,DC=corp",TRUE,Marlon,Marlon Childs,user,5449b713-4cbf-49ee-b7a8-7b60986e4194,marlon.childs,S-1-5-21-3286942722-1835917726-286516016-1109,Childs,marlon.childs@ad.vulndomain.corp
"CN=Benjamin Anthony,OU=Alsid,DC=alsid,DC=corp",TRUE,Benjamin,Benjamin Anthony,user,a1faecc9-36c4-47d4-8c03-c704e4daf48b,benjamin.anthony,S-1-5-21-3286942722-1835917726-286516016-1110,Anthony,benjamin.anthony@ad.vulndomain.corp
"CN=King Cardona,OU=Alsid,DC=alsid,DC=corp",TRUE,King,King Cardona,user,c73a4af5-c383-47b3-b6b1-b7d006f4867a,king.cardona,S-1-5-21-3286942722-1835917726-286516016-1111,Cardona,king.cardona@ad.vulndomain.corp
"CN=Lucio Chalmers,OU=Alsid,DC=alsid,DC=corp",TRUE,Lucio,Lucio Chalmers,user,cb04bf73-dc2b-4a07-b215-a2716352c55b,lucio.chalmers,S-1-5-21-3286942722-1835917726-286516016-1112,Chalmers,lucio.chalmers@ad.vulndomain.corp
"CN=Ernest Blevins,OU=Alsid,DC=alsid,DC=corp",TRUE,Ernest,Ernest Blevins,user,f6ab3635-ea24-4db3-9d36-2fa30bf52ebb,ernest.blevins,S-1-5-21-3286942722-1835917726-286516016-1113,Blevins,ernest.blevins@ad.vulndomain.corp
"CN=Calvin Aviles,OU=Alsid,DC=alsid,DC=corp",TRUE,Calvin,Calvin Aviles,user,e5fd60cb-3d98-4829-9e2f-252092e425c9,calvin.aviles,S-1-5-21-3286942722-1835917726-286516016-1114,Aviles,calvin.aviles@ad.vulndomain.corp
"CN=Joshua Caldwell,OU=Alsid,DC=alsid,DC=corp",TRUE,Joshua,Joshua Caldwell,user,66ad2e73-a52b-4c2b-b82d-ccc7e5e444ca,joshua.caldwell,S-1-5-21-3286942722-1835917726-286516016-1115,Caldwell,joshua.caldwell@ad.vulndomain.corp
"CN=Arlen Almeida,OU=Alsid,DC=alsid,DC=corp",TRUE,Arlen,Arlen Almeida,user,8d8731a9-c7c8-4708-a0e3-c437f7b43f72,arlen.almeida,S-1-5-21-3286942722-1835917726-286516016-1116,Almeida,arlen.almeida@ad.vulndomain.corp
"CN=Ezequiel Boehm,OU=Alsid,DC=alsid,DC=corp",TRUE,Ezequiel,Ezequiel Boehm,user,6dee17f5-0d2b-419f-a810-cc2dc8a071da,ezequiel.boehm,S-1-5-21-3286942722-1835917726-286516016-1117,Boehm,ezequiel.boehm@ad.vulndomain.corp
"CN=Malcom Charlton,OU=Alsid,DC=alsid,DC=corp",TRUE,Malcom,Malcom Charlton,user,17dafef1-cd07-4561-8545-76991e310d9c,malcom.charlton,S-1-5-21-3286942722-1835917726-286516016-1118,Charlton,malcom.charlton@ad.vulndomain.corp
"CN=Lauren Carrasco,OU=Alsid,DC=alsid,DC=corp",TRUE,Lauren,Lauren Carrasco,user,9b4a9642-ab91-4b72-8d33-44d136c29dc2,lauren.carrasco,S-1-5-21-3286942722-1835917726-286516016-1119,Carrasco,lauren.carrasco@ad.vulndomain.corp
"CN=Giuseppe Boynton,OU=Alsid,DC=alsid,DC=corp",TRUE,Giuseppe,Giuseppe Boynton,user,ddbfe3ef-af2b-4aaf-937c-2da456ccf513,giuseppe.boynton,S-1-5-21-3286942722-1835917726-286516016-1120,Boynton,giuseppe.boynton@ad.vulndomain.corp
"CN=Kyle Carmona,OU=Alsid,DC=alsid,DC=corp",TRUE,Kyle,Kyle Carmona,user,38cf2809-ba34-43fe-9eec-34801dec4421,kyle.carmona,S-1-5-21-3286942722-1835917726-286516016-1121,Carmona,kyle.carmona@ad.vulndomain.corp
"CN=Ellen Ripley,OU=Alsid,DC=alsid,DC=corp",TRUE,Ellen,Ellen Ripley,user,c8ac9e92-2c53-466f-9049-aa6930a0aa2d,ellen.ripley,S-1-5-21-3286942722-1835917726-286516016-1122,Ripley,ellen.ripley@ad.vulndomain.corp
"CN=Barry Andre,OU=Alsid,DC=alsid,DC=corp",TRUE,Barry,Barry Andre,user,7e51fc93-6015-49b0-8ccf-f47ce79daae3,barry.andre,S-1-5-21-3286942722-1835917726-286516016-1123,Andre,barry.andre@ad.vulndomain.corp
"CN=Nucky Thompson,OU=Alsid,DC=alsid,DC=corp",TRUE,Nucky,Nucky Thompson,user,c4642d7f-5b90-495a-850b-742545438c7b,nucky.thompson,S-1-5-21-3286942722-1835917726-286516016-1124,Thompson,nucky.thompson@ad.vulndomain.corp
"CN=Kurt Carman,OU=Alsid,DC=alsid,DC=corp",TRUE,Kurt,Kurt Carman,user,e3711f03-bcbe-4717-8113-8c6daa68f1ac,kurt.carman,S-1-5-21-3286942722-1835917726-286516016-1125,Carman,kurt.carman@ad.vulndomain.corp
"CN=Micah Cintron,OU=Alsid,DC=alsid,DC=corp",TRUE,Micah,Micah Cintron,user,baae3c43-4e26-413b-b7e4-36c98351b033,micah.cintron,S-1-5-21-3286942722-1835917726-286516016-1126,Cintron,micah.cintron@ad.vulndomain.corp
"CN=Britt Ashley,OU=Alsid,DC=alsid,DC=corp",TRUE,Britt,Britt Ashley,user,fa666d98-15ea-43ce-a5d3-940ae4423c35,britt.ashley,S-1-5-21-3286942722-1835917726-286516016-1127,Ashley,britt.ashley@ad.vulndomain.corp
"CN=Earle Berryman,OU=Alsid,DC=alsid,DC=corp",TRUE,Earle,Earle Berryman,user,6e007a64-a163-4e31-8f78-3e04edc9d5e5,earle.berryman,S-1-5-21-3286942722-1835917726-286516016-1128,Berryman,earle.berryman@ad.vulndomain.corp
"CN=Jewel Busch,OU=Alsid,DC=alsid,DC=corp",TRUE,Jewel,Jewel Busch,user,0e28dfd9-dde2-4e69-a06d-c4906b50ee96,jewel.busch,S-1-5-21-3286942722-1835917726-286516016-1129,Busch,jewel.busch@ad.vulndomain.corp
"CN=Enoch Blanco,OU=Alsid,DC=alsid,DC=corp",TRUE,Enoch,Enoch Blanco,user,53365f2a-3edd-4535-b99d-0dee24dc652d,enoch.blanco,S-1-5-21-3286942722-1835917726-286516016-1130,Blanco,enoch.blanco@ad.vulndomain.corp
